,Unnamed: 0,Author,title,Age_restriction,description,keywords,length,publish_date,views,about,link,channel_name
0,0,Toyota Forklifts,Toyota Material Handling | Products: Core Electric Forklifts,False,"The Toyota Core Electric Forklift is an ideal compact four-wheel electric lift truck solution for most indoor and warehouse applications. 

The Core Electric Forklift is capable of moving most any standard load while maintaining the ability to fully operate in spaces as small as 11 feet wide. And Toyota designed and built AC motors provide new levels of performance, efficiency, and reliability to maximize your productivity and return on investment.
https://www.toyotaforklift.com/lifts/electric-motor-rider-forklifts/core-electric-forklift","Toyota,Toyota Material Handling,Forklift,Electric Forklift,Core Electric",202,2020-04-01,14266,https://www.youtube.com/channel/UCWe14G786FL8lMz9I-1shew/about,https://www.youtube.com/watch?v=p7QKfv5PkvQ>,Toyota Forklifts
1,0,Toyota Forklifts,Toyota Material Handling | Products: 3-Wheel Electric Forklift,False,"Toyota's New 3-Wheel Electric has launched. With more than 30 new and improved features, a 20 percent increase in one time with one charge over the previous model and an unparalleled ease of maintenance, this forklift is a highly-versatile addition to any fleet.
https://www.toyotaforklift.com/lifts/electric-motor-rider-forklifts/3-wheel-electric-forklift","Toyota Material Handling,U.S.A.,Inc. (Business Operation) Forklift Truck (Product Category)",171,2015-06-03,89583,https://www.youtube.com/channel/UCWe14G786FL8lMz9I-1shew/about,https://www.youtube.com/watch?v=vEnw7RX_abg>,Toyota Forklifts
2,0,Kyle Thill,Toyota Forklift Truck's System of Active Stability SAS,False,"To help prevent these inevitable situations, Toyota has equipped most of their forklifts since 1999 with the patented System of Active Stability (SAS.) SAS is an efficient and effective system that takes over 3,000 readings per second to detect unsafe operating conditions. If a safety hazard is detected, the SAS activates one of its two main features that improve lateral and longitudinal stability of the forklift.","forklift safety,toyota forklift,toyota system of active stabiilty,toyota video,forklift video,forklift accident,toyota lift of minnesota",317,2017-06-10,33439,https://www.youtube.com/channel/UCcajkTuGMfaAQKYHohzxVdw/about,https://www.youtube.com/watch?v=LZqH6RSYv70>,Kyle Thill
3,0,Forklift Guy Vancouver,Toyota 3 Wheel Electric Forklift,False,"This video is a quick overview of the Toyota 3 wheel electric forklift,  covering solid pneumatic tire options, programming and other features.  8FBES15U, 8FBE18U, 8FBE20U",,89,2021-05-31,354,https://www.youtube.com/channel/UCaBNlSmw_cgoJYqCdVN6NGQ/about,https://www.youtube.com/watch?v=Spq1zupBTKM>,Forklift Guy Vancouver
4,0,Toyota Forklifts,Toyota Material Handling | Products: 48V & 80V Electric Pneumatic Forklifts,False,"At Toyota, we understand that you need a forklift that delivers power and durability to get the job done. Our 48 and 80V Electric Pneumatic Forklifts maintain clean air and low maintenance while supporting traditional IC applications. Learn why you should add these powerful lifts to your fleet.
https://www.toyotaforklift.com/resource-library/video-library/48v-80v-electric-pneumatic-forklift-official-video",,79,2021-11-04,2286,https://www.youtube.com/channel/UCWe14G786FL8lMz9I-1shew/about,https://www.youtube.com/watch?v=T-YCXKScx2g>,Toyota Forklifts
5,0,ToyotaMHEurope,Toyota Material Handling - Design review process,False,"The key missions of our R&D team are developing, testing and launching new products. 
This video shows you how they work closely together with the product management team during the design review (DR) process from DR0 to DR8. 
During these phases prototypes are drawn, products are tested and feedback is processed to improve the products. 
At Toyota, this structured approach is globally implemented to guarantee quality products that are in line with market demands and customer needs.

Visit our website http://www.toyota-forklifts.eu/","Toyota material handling,toyota,Design forklifts,R&D,Toyota forklifts,Bt forklifts",200,2015-10-07,11416,https://www.youtube.com/channel/UCkiwvb3jwfEsWUSfq7lAUxQ/about,https://www.youtube.com/watch?v=Jyh4C96J0p8>,ToyotaMHEurope
6,0,FORKLIFT TECHNICIAN GURU,TOYOTA 8FB18 SPEED SETTING,False,TOYOTA 8FB18 KI SPEED KAISE SET KARTE HAI,,129,2021-11-11,2334,https://www.youtube.com/channel/UC4uKpzGbBQXtlja5XnrE1uQ/about,https://www.youtube.com/watch?v=jBuZrlo8MTc>,FORKLIFT TECHNICIAN GURU
7,0,Toyota Forklifts,Toyota Material Handling: Your Full-Line Solutions Provider,False,"Toyota Material Handling is committed to being your total material handling solutions provider. Forging strong relationships with automation technology companies and expanding its high-capacity line, Toyota can assist businesses in moving any material in your application – from port container to pallet to parcel.
https://www.toyotaforklift.com/",,132,2021-02-23,4990,https://www.youtube.com/channel/UCWe14G786FL8lMz9I-1shew/about,https://www.youtube.com/watch?v=6JaZbmg-hso>,Toyota Forklifts
8,0,Toyota Forklifts,Toyota Material Handling | Stand Up Rider Forklift vs. 3-Wheel Electric Forklift,False,,"Stand Up Rider,3-Wheel Electric,Forklift Truck (Product Category),Toyota,Toyota Forklift,Electric Forklift,AC power",162,2015-10-27,36014,https://www.youtube.com/channel/UCWe14G786FL8lMz9I-1shew/about,https://www.youtube.com/watch?v=Pb_xHrq4etk>,Toyota Forklifts
9,0,Toyota Forklifts,Toyota Material Handling | Products: THD Electric Cushion Forklift,False,The Toyota High-Capacity Electric Cushion Forklift gives you the versatility to lift massive loads without the need of traditional IC engines. The versatile electric power and high visibility combined with a 92 inch wheelbase means you’ll have the power you want and the maneuverability you need for your largest indoor tasks.,,102,2017-09-27,1510,https://www.youtube.com/channel/UCWe14G786FL8lMz9I-1shew/about,https://www.youtube.com/watch?v=fb0-xfPi89M>,Toyota Forklifts
10,0,Toyota Forklifts,Toyota Material Handling | Products: 1-ton Core Electric,False,The industry’s best-selling Core Electric lineup just got better with the introduction of two new 1-ton models packed with productivity and uptime-boosting features. Upgrade your fleet today to experience the latest in technological innovations designed to maximize your efficiency and return on investment.,"Toyota,Toyota Material Handling,Forklift,Electric Forklift,Core Electric,Toyota 1-ton Electric,1-ton Electric,1-ton Electric Forklift",79,2020-04-06,4102,https://www.youtube.com/channel/UCWe14G786FL8lMz9I-1shew/about,https://www.youtube.com/watch?v=3bPTLqls26A>,Toyota Forklifts
11,0,perofhail ksa,How To Start Toyota Electric Forklift#Shorts,False,"Toyota Forklift Truck 
Model 7FBMF30
PROD.YEAR:2011","Toyota,Forklift,Electric Forklift",15,2021-10-03,1129,https://www.youtube.com/channel/UCwp73H85-RdMZVTZjkVjM3g/about,https://www.youtube.com/watch?v=E4k2r5lPF7A>,perofhail ksa
12,0,Toyota Forklifts,Toyota Material Handling | Forklift Safety: Warehouse Forklifts & Aisle Widths,False,"All warehouses and distribution centers are not created equal. Some have the space for more traditional 12-foot aisles and the traditional counter-balance forklifts that operate in them. Others, however, utilize narrow aisles and need forklifts and warehouse equipment to lift, stack and move product within them.
https://www.toyotaforklift.com/lifts/electric-motor-rider-forklifts","warehouse,distribution center,forklifts,toyota,warehouse solutions,Reach Truck,Stand Up Rider,Core IC Cushion Forklift,Core Electric Forklift,3-Wheel Electric Forklift",302,2016-06-21,182755,https://www.youtube.com/channel/UCWe14G786FL8lMz9I-1shew/about,https://www.youtube.com/watch?v=Ne2s2AtUUUU>,Toyota Forklifts
13,0,Liftow Ltd.,Walk Around Video - Toyota 3-Wheel Electric Forklift,False,This is a walkaround video of the Toyota 3-Wheel Electric Forklift.,,440,2021-02-08,1906,https://www.youtube.com/channel/UCz82XS6mVcrtiIIWaRgsJTw/about,https://www.youtube.com/watch?v=xlk3b_rMKEU>,Liftow Ltd.
14,0,Toyota Material Handling India,Toyota 8FBE Series,False,Toyota 8FBE-Series 3-Wheeler Electric Forklift,"Toyota Electric Forklift,Forklift,Toyota Forklift,Electric Forklift,Battery Forklift,Toyota Battery Forklift",336,2016-03-11,6113,https://www.youtube.com/channel/UCKcc2NIOJtAaFIck74MaFjQ/about,https://www.youtube.com/watch?v=99jXyfID9BA>,Toyota Material Handling India
15,0,Toyota Forklifts,Toyota Material Handling | Toyota Electric Pallet Jacks and Walkie Stacker Ergonomics,False,"When you are low-level order picking, low-level stacking, loading or unloading trucks and maneuvering product across the warehouse, Toyota’s pallet jacks are the perfect solution.

Toyota’s pallet jacks are easy to maneuver in areas where traditional forklifts are not but they do require more manual labor than regular forklifts, which can put strain on an operator’s body, especially while working long shifts.

Fortunately, Toyota pallet jacks and stackers are built with operator ergonomics at the top of mind, to make work comfortable, safe, productive and efficient.

https://www.toyotaforklift.com/lifts/jacks-walkies-stackers/electric-walkie-pallet-jack","Toyota,Forklifts,Pallet Jacks,Ergonomics,AC-Powered,Warehouse Solutions,Warehouse,Shipping Docks,Order Picking",164,2016-02-25,18432,https://www.youtube.com/channel/UCWe14G786FL8lMz9I-1shew/about,https://www.youtube.com/watch?v=2oAWT_1UfYk>,Toyota Forklifts
16,0,Toyota Forklifts,Toyota Material Handling | Advantages of Electric Pallet Jacks & Stackers,False,,"Electric Pallet Jack,Pallet Jack,AC power,Toyota,Forklift Truck (Product Category),Toyota Forklift,Walkie,Walkie Stacker",185,2015-10-27,41656,https://www.youtube.com/channel/UCWe14G786FL8lMz9I-1shew/about,https://www.youtube.com/watch?v=BavhN-ARSuc>,Toyota Forklifts
